Name,Seasons,Games,Team,Wiki_Names,Birth_Year
Alan Trammell,2014,3,ARI,Alan Trammell,1958
Kirk Gibson,2010–2014,729,ARI,Kirk Gibson,1957
A. J. Hinch,2009–2010,212,ARI,A. J. Hinch,1974
Bob Melvin,2005–2009,677,ARI,Bob Melvin,1961
Al Pedrique,2004,83,ARI,Al Pedrique,1960
Bob Brenly,2001–2004,565,ARI,Bob Brenly,1954
Buck Showalter,1998–2000,486,ARI,Buck Showalter,1956
David Bell,2019–present,708,CIN,David Bell (baseball),1972
Jim Riggleman,2018,144,CIN,Jim Riggleman,1952
Bryan Price,2014–2018,666,CIN,Bryan Price,1962
Dusty Baker,2008–2013,972,CIN,Dusty Baker,1949
Pete Mackanin,2007,80,CIN,Pete Mackanin,1951
Jerry Narron,2005–2007,337,CIN,Jerry Narron,1956
Dave Miley,2003–2005,289,CIN,Dave Miley,1962
Bob Boone,2001–2003,428,CIN,Bob Boone,1947
Jack McKeon,1997–2000,551,CIN,Jack McKeon,1930
Craig Counsell,2024–present,0,CHC,Craig Counsell,1970
David Ross,2020–2023,546,CHC,David Ross (baseball),1977
Joe Maddon,2015–2019,810,CHC,Joe Maddon,1954
Rick Renteria,2014,162,CHC,Rick Renteria,1961
Dale Sveum,2012–2013,324,CHC,Dale Sveum,1963
Mike Quade,2010–2011,199,CHC,Mike Quade,1957
Lou Piniella,2007–2010,609,CHC,Lou Piniella,1943
Dusty Baker,2003–2006,648,CHC,Dusty Baker,1949
Bruce Kimm,2002,78,CHC,Bruce Kimm,1951
Rene Lachemann,2002,1,CHC,Rene Lachemann,1945
Don Baylor,2000–2002,407,CHC,Don Baylor,1949
Craig Counsell,2015–2023,1332,MIL,Craig Counsell,1970
Ron Roenicke,2011–2015,673,MIL,Ron Roenicke,1956
Ken Macha,2009–2010,324,MIL,Ken Macha,1950
Dale Sveum,2008,12,MIL,Dale Sveum,1963
Ned Yost,2003–2008,959,MIL,Ned Yost,1954
Jerry Royster,2002,147,MIL,Jerry Royster,1952
Davey Lopes,2000–2002,340,MIL,Davey Lopes,1945
Oliver Marmol,2022–present,324,STL,Oliver Marmol,1986
Mike Shildt,2018–2021,451,STL,Mike Shildt,1968
Mike Matheny,2012–2018,1074,STL,Mike Matheny,1970
Tony La Russa,1996–2011,2591,STL,Tony La Russa,1944
Derek Shelton,2020–present,546,PIT,Derek Shelton,1970
Clint Hurdle,2011–2019,1455,PIT,Clint Hurdle,1957
John Russell,2008–2010,485,PIT,John Russell (catcher),1961
Jim Tracy,2006–2007,324,PIT,Jim Tracy (baseball),1955
Pete Mackanin,2005,26,PIT,Pete Mackanin,1951
Lloyd McClendon,2001–2005,782,PIT,Lloyd McClendon,1959
Gene Lamont,1997–2000,647,PIT,Gene Lamont,1946
Brian Snitker,2016–present,1155,ATL,Brian Snitker,1955
Fredi González,2011–2016,847,ATL,Fredi González,1964
Bobby Cox,1990–2010,3269,ATL,Bobby Cox,1941
Skip Schumaker,2023–present,161,MIA,Skip Schumaker,1980
Dan Jennings,2015,124,MIA,Dan Jennings (manager),1960
Don Mattingly,2016–2022,1030,MIA,Don Mattingly,1961
Ozzie Guillén,2012,162,MIA,Ozzie Guillén,1964
Mike Redmond,2013–2015,362,MIA,Mike Redmond,1971
Jack McKeon,2011,90,MIA,Jack McKeon,1930
Brandon Hyde,2011,1,MIA,Brandon Hyde,1973
Edwin Rodríguez,2010–2011,163,MIA,Edwin Rodríguez (baseball),1960
Fredi González,2007–2010,555,MIA,Fredi González,1964
Joe Girardi,2006,162,MIA,Joe Girardi,1964
Jack McKeon,2003–2005,448,MIA,Jack McKeon,1930
Jeff Torborg,2002–2003,200,MIA,Jeff Torborg,1941
Tony Pérez,2001,114,MIA,Tony Pérez,1942
John Boles,1999–2001,371,MIA,John Boles (baseball),1948
Carlos Mendoza,2024–present,0,NYM,Carlos Mendoza (baseball coach),1979
Buck Showalter,2022–2023,324,NYM,Buck Showalter,1956
Luis Rojas,2020–2021,222,NYM,Luis Rojas (baseball),1981
Mickey Callaway,2018–2019,324,NYM,Mickey Callaway,1975
Terry Collins,2011–2017,1134,NYM,Terry Collins,1949
Jerry Manuel,2008–2010,417,NYM,Jerry Manuel,1953
Willie Randolph,2005–2008,555,NYM,Willie Randolph,1954
Art Howe,2003–2004,323,NYM,Art Howe,1946
Bobby Valentine,1996–2002,1003,NYM,Bobby Valentine,1950
Dave Martinez,2018–present,870,WAS,Dave Martinez,1964
Dusty Baker,2016–2017,324,WAS,Dusty Baker,1949
Matt Williams,2014–2015,324,WAS,Matt Williams (third baseman),1965
Davey Johnson,2011–2013,407,WAS,Davey Johnson,1943
John McLaren,2011,3,WAS,John McLaren (baseball),1951
Jim Riggleman,2009–2011,312,WAS,Jim Riggleman,1952
Manny Acta,2007–2009,410,WAS,Manny Acta,1969
Frank Robinson,2002–2006,810,WAS,Frank Robinson,1935
Jeff Torborg,2001,109,WAS,Jeff Torborg,1941
Felipe Alou,1992–2001,1408,WAS,Felipe Alou,1935
Gabe Kapler,2018–2019,324,PHI,Gabe Kapler,1975
Pete Mackanin,2015–2017,412,PHI,Pete Mackanin,1951
Ryne Sandberg,2013–2015,278,PHI,Ryne Sandberg,1959
Charlie Manuel,2005–2013,1416,PHI,Charlie Manuel,1944
Gary Varsho,2004,2,PHI,Gary Varsho,1961
Larry Bowa,2001–2004,645,PHI,Larry Bowa,1945
Terry Francona,1997–2000,648,PHI,Terry Francona,1959
