Manager,Seasons,G,Team,Wins,Losses
Luis Rojas,2020–2021,222,NYM,,
Mickey Callaway,2018–2019,324,NYM,,
Terry Collins,2011–2017,1134,NYM,,
Jerry Manuel,2008–2010,417,NYM,,
Willie Randolph,2005–2008,555,NYM,,
Art Howe,2003–2004,323,NYM,,
Bobby Valentine,1996–2002,1003,NYM,,
Dave Martinez*,2018–present,870,WAS,,
Dusty Baker,2016–2017,324,WAS,,
Matt Williams*,2014–2015,324,WAS,,
Davey Johnson,2011–2013,407,WAS,,
John McLaren,2011,3,WAS,,
Jim Riggleman,2009–2011,312,WAS,,
Manny Acta,2007–2009,410,WAS,,
Frank Robinson[b],2002–2006,810,WAS,,
Jeff Torborg,2001,109,WAS,,
Felipe Alou,1992–2001,1408,WAS,,
Gabe Kapler,2018–2019,324,PHI,161,163
Pete Mackanin,2015–2017,412,PHI,174,238
Ryne Sandberg†,2013–2015,278,PHI,119,159
Charlie Manuel§,2005–2013,1416,PHI,780,636
Gary Varsho,2004,2,PHI,1,1
Larry Bowa§[b],2001–2004,645,PHI,337,308
Terry Francona,1997–2000,648,PHI,285,363
